Symbol,Company Name,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size
MNKD,MannKind Corporation,MannKind Corporation - Common Stock,G,N,N,100.0
MNOV,"MediciNova, Inc.","MediciNova, Inc. - Common Stock",G,N,N,100.0
MNRO,"Monro Muffler Brake, Inc.","Monro Muffler Brake, Inc. - Common Stock",Q,N,N,100.0
MNST,Monster Beverage Corporation,Monster Beverage Corporation - Common Stock,Q,N,N,100.0
MNTX,"Manitex International, Inc.","Manitex International, Inc. - common stock",S,N,N,100.0
MOFG,"MidWestOne Financial Group, Inc.","MidWestOne Financial Group, Inc. - Common Stock",Q,N,N,100.0
MOMO,Momo Inc.,Momo Inc. - American Depositary Shares,Q,N,N,100.0
MORN,"Morningstar, Inc.","Morningstar, Inc. - Common Stock",Q,N,N,100.0
MPAA,"Motorcar Parts of America, Inc.","Motorcar Parts of America, Inc. - Common Stock",Q,N,N,100.0
MPB,Mid Penn Bancorp,Mid Penn Bancorp - Common Stock,G,N,N,100.0
MPWR,"Monolithic Power Systems, Inc.","Monolithic Power Systems, Inc. - Common Stock",Q,N,N,100.0
MRCC,Monroe Capital Corporation,Monroe Capital Corporation - Common Stock,Q,N,N,100.0
MRCY,Mercury Systems Inc,Mercury Systems Inc - Common Stock,Q,N,N,100.0
MRGE,Merge Healthcare Incorporated.,Merge Healthcare Incorporated. - Common Stock,Q,N,N,100.0
MRNS,"Marinus Pharmaceuticals, Inc.","Marinus Pharmaceuticals, Inc. - Common Stock",G,N,N,100.0
MRTN,"Marten Transport, Ltd.","Marten Transport, Ltd. - Common Stock",Q,N,N,100.0
MRTX,"Mirati Therapeutics, Inc.","Mirati Therapeutics, Inc. - Common Stock",S,N,N,100.0
MRVL,Marvell Technology Group Ltd.,Marvell Technology Group Ltd. - Common Stock,Q,N,N,100.0
MSEX,Middlesex Water Company,Middlesex Water Company - Common Stock,Q,N,N,100.0
MSFT,Microsoft Corporation,Microsoft Corporation - Common Stock,Q,N,N,100.0
MSTR,MicroStrategy Incorporated,MicroStrategy Incorporated - Class A Common Stock,Q,N,N,100.0
MTEX,"Mannatech, Incorporated","Mannatech, Incorporated - Common Stock",Q,N,N,100.0
MTLS,Materialise NV,Materialise NV - American Depositary Shares,Q,N,N,100.0
MTRX,Matrix Service Company,Matrix Service Company - Common Stock,Q,N,N,100.0
MTSI,M/A,"M/A-COM Technology Solutions Holdings, Inc. - Common Stock",Q,N,N,100.0
MU,"Micron Technology, Inc.","Micron Technology, Inc. - Common Stock",Q,N,N,100.0
MVIS,"Microvision, Inc.","Microvision, Inc. - Common Stock",G,N,N,100.0
MYGN,"Myriad Genetics, Inc.","Myriad Genetics, Inc. - Common Stock",Q,N,N,100.0
MYRG,"MYR Group, Inc.","MYR Group, Inc. - Common Stock",Q,N,N,100.0
NAII,"Natural Alternatives International, Inc.","Natural Alternatives International, Inc. - Common Stock",G,N,N,100.0
NATH,"Nathan's Famous, Inc.","Nathan's Famous, Inc. - Common Stock",Q,N,N,100.0
NATI,National Instruments Corporation,National Instruments Corporation - Common Stock,Q,N,N,100.0
NATL,National Interstate Corporation,National Interstate Corporation - Common Stock,Q,N,N,100.0
NATR,"Nature's Sunshine Products, Inc.","Nature's Sunshine Products, Inc. - Common Stock",S,N,N,100.0
NAUH,"National American University Holdings, Inc.","National American University Holdings, Inc. - Common Stock",G,N,N,100.0
NAVI,Navient Corporation,Navient Corporation - Common Stock,Q,N,N,100.0
NBIX,"Neurocrine Biosciences, Inc.","Neurocrine Biosciences, Inc. - Common Stock",Q,N,N,100.0
NBN,Northeast Bancorp,Northeast Bancorp - Common Stock,G,N,N,100.0
NBTB,NBT Bancorp Inc.,NBT Bancorp Inc. - Common Stock,Q,N,N,100.0
NCLH,Norwegian Cruise Line Holdings Ltd.,Norwegian Cruise Line Holdings Ltd. - Ordinary Shares,Q,N,N,100.0
NCMI,"National CineMedia, Inc.","National CineMedia, Inc. - Common Stock",Q,N,N,100.0
NCTY,The9 Limited,The9 Limited - American Depository Shares representing one ordinary share,Q,N,N,100.0
NDAQ,"The NASDAQ OMX Group, Inc.","The NASDAQ OMX Group, Inc. - Common Stock",Q,N,N,100.0
NDLS,Noodles & Company,Noodles & Company - Common Stock,Q,N,N,100.0
NDSN,Nordson Corporation,Nordson Corporation - Common Stock,Q,N,N,100.0
NECB,"Northeast Community Bancorp, Inc.","Northeast Community Bancorp, Inc. - Common Stock",G,N,N,100.0
NEO,"NeoGenomics, Inc.","NeoGenomics, Inc. - Common Stock",S,N,N,100.0
NEOG,Neogen Corporation,Neogen Corporation - Common Stock,Q,N,N,100.0
NEON,Neonode Inc.,Neonode Inc. - Common Stock,S,N,N,100.0
NEPT,Neptune Technologies & Bioresources Inc,Neptune Technologies & Bioresources Inc - Ordinary Shares,S,N,N,100.0
NERV,"Minerva Neurosciences, Inc","Minerva Neurosciences, Inc - Common Stock",G,N,N,100.0
NEWP,Newport Corporation,Newport Corporation - Common Stock,Q,N,N,100.0
NEWT,Newtek Business Services Corp.,Newtek Business Services Corp. - Common Stock,S,N,N,100.0
NFBK,"Northfield Bancorp, Inc.","Northfield Bancorp, Inc. - Common Stock",Q,N,N,100.0
NFLX,"Netflix, Inc.","Netflix, Inc. - Common Stock",Q,N,N,100.0
NICE,NICE,NICE-Systems Limited - American Depositary Shares each representing one Ordinary Share,Q,N,N,100.0
NICK,"Nicholas Financial, Inc.","Nicholas Financial, Inc. - Common Stock",Q,N,N,100.0
NKSH,"National Bankshares, Inc.","National Bankshares, Inc. - Common Stock",S,N,N,100.0
NKTR,Nektar Therapeutics,Nektar Therapeutics - Common Stock,Q,N,N,100.0
NLST,"Netlist, Inc.","Netlist, Inc. - Common Stock",G,N,D,100.0
NMIH,NMI Holdings Inc,NMI Holdings Inc - Common Stock,G,N,N,100.0
NNBR,"NN, Inc.","NN, Inc. - Common Stock",Q,N,N,100.0
NRIM,Northrim BanCorp Inc,Northrim BanCorp Inc - Common Stock,Q,N,N,100.0
